theme,series,name,unit,source,definition,primary,secondary,tertiary
Education,PRCRMARU,"Primary completion rate, rural, male",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Educational For All Monitoring Project (EFA) Global Monitoring Report","Percentage of (i) children and young people aged 3-7 years above primary school graduation age and (ii) young people aged 15-24 years, who have completed primary school.",Primary completion rate,rural,male
Education,PRCRFEUR,"Primary completion rate, urban, female",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Educational For All Monitoring Project (EFA) Global Monitoring Report","Percentage of (i) children and young people aged 3-7 years above primary school graduation age and (ii) young people aged 15-24 years, who have completed primary school.",Primary completion rate,urban,female
Education,PRCRMAUR,"Primary completion rate, urban, male",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Educational For All Monitoring Project (EFA) Global Monitoring Report","Percentage of (i) children and young people aged 3-7 years above primary school graduation age and (ii) young people aged 15-24 years, who have completed primary school.",Primary completion rate,urban,male
Education,EASLFEIN,"Educational attainment (lower secondary) of the population aged 25 and older, female",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",Number of students enrolled in each field over the total enrollment in tertiary education in a specific academic-year.,Educational attainment (pop. age 25+),lower secondary,female
Education,EASLMAIN,"Educational attainment (lower secondary) of the population aged 25 and older, male",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",Number of students enrolled in each field over the total enrollment in tertiary education in a specific academic-year.,Educational attainment (pop. age 25+),lower secondary,male
Education,EASLTOIN,"Educational attainment (lower secondary) of the population aged 25 and older, total",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",Number of students enrolled in each field over the total enrollment in tertiary education in a specific academic-year.,Educational attainment (pop. age 25+),lower secondary,total
Education,EAPSFEIN,"Educational attainment (post-secondary) of the population aged 25 and older, female",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",Number of students enrolled in each field over the total enrollment in tertiary education in a specific academic-year.,Educational attainment (pop. age 25+),post-secondary,female
Education,EAPSMAIN,"Educational attainment (post-secondary) of the population aged 25 and older, male",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",Number of students enrolled in each field over the total enrollment in tertiary education in a specific academic-year.,Educational attainment (pop. age 25+),post-secondary,male
Education,EAPSTOIN,"Educational attainment (post-secondary) of the population aged 25 and older, total",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",Number of students enrolled in each field over the total enrollment in tertiary education in a specific academic-year.,Educational attainment (pop. age 25+),post-secondary,total
Education,EAPLFEIN,"Educational attainment (primary) of the population aged 25 and older, female",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",Number of students enrolled in each field over the total enrollment in tertiary education in a specific academic-year.,Educational attainment (pop. age 25+),primary,female
Education,EAPLMAIN,"Educational attainment (primary) of the population aged 25 and older, male",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",Number of students enrolled in each field over the total enrollment in tertiary education in a specific academic-year.,Educational attainment (pop. age 25+),primary,male
Education,EAPLTOIN,"Educational attainment (primary) of the population aged 25 and older, total",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",Number of students enrolled in each field over the total enrollment in tertiary education in a specific academic-year.,Educational attainment (pop. age 25+),primary,total
Education,EATLFEIN,"Educational attainment (tertiary) of the population aged 25 and older, female",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",Number of students enrolled in each field over the total enrollment in tertiary education in a specific academic-year.,Educational attainment (pop. age 25+),tertiary,female
Education,EATLMAIN,"Educational attainment (tertiary) of the population aged 25 and older, male",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",Number of students enrolled in each field over the total enrollment in tertiary education in a specific academic-year.,Educational attainment (pop. age 25+),tertiary,male
Education,EATLTOIN,"Educational attainment (tertiary) of the population aged 25 and older, total",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",Number of students enrolled in each field over the total enrollment in tertiary education in a specific academic-year.,Educational attainment (pop. age 25+),tertiary,total
Education,EASUFEIN,"Educational attainment (upper secondary) of the population aged 25 and older, female",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",Number of students enrolled in each field over the total enrollment in tertiary education in a specific academic-year.,Educational attainment (pop. age 25+),upper secondary,female
Education,EASUMAIN,"Educational attainment (upper secondary) of the population aged 25 and older, male",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",Number of students enrolled in each field over the total enrollment in tertiary education in a specific academic-year.,Educational attainment (pop. age 25+),upper secondary,male
Education,EASUTOIN,"Educational attainment (upper secondary) of the population aged 25 and older, total",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",Number of students enrolled in each field over the total enrollment in tertiary education in a specific academic-year.,Educational attainment (pop. age 25+),upper secondary,total
Education,TRPSFEIN,"Effective transition rate from primary to secondary school, female",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",Number of new entrants to the first grade of the higher level of education in the following year expressed as a percentage of the students enrolled in the last grade of the given level of education in the given year who do not repeat that grade the following year.,Transition rate (primary to secondary),,female
Education,TRPSMAIN,"Effective transition rate from primary to secondary school, male",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",Number of new entrants to the first grade of the higher level of education in the following year expressed as a percentage of the students enrolled in the last grade of the given level of education in the given year who do not repeat that grade the following year.,Transition rate (primary to secondary),,male
Education,TRPSTOIN,"Effective transition rate from primary to secondary school, total",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",Number of new entrants to the first grade of the higher level of education in the following year expressed as a percentage of the students enrolled in the last grade of the given level of education in the given year who do not repeat that grade the following year.,Transition rate (primary to secondary),,total
Education,TEDAGRFE,"Enrollment in tertiary education, agriculture, female",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of females enrolled in tertiary education, per program",Enrollment in tertiary education,agriculture,female
Education,TEDAGRMA,"Enrollment in tertiary education, agriculture, male",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of males enrolled in tertiary education, per program",Enrollment in tertiary education,agriculture,male
Education,TEDAGRTO,"Enrollment in tertiary education, agriculture, total",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of total males and females enrolled in tertiary education, per program",Enrollment in tertiary education,agriculture,total
Education,TEDALLFE,"Enrollment in tertiary education, all programs, female",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of females enrolled in tertiary education, per program",Enrollment in tertiary education,all programs,female
Education,TEDALLMA,"Enrollment in tertiary education, all programs, male",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of males enrolled in tertiary education, per program",Enrollment in tertiary education,all programs,male
Education,TEDALLTO,"Enrollment in tertiary education, all programs, total",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of total males and females enrolled in tertiary education, per program",Enrollment in tertiary education,all programs,total
Education,TEDEDUFE,"Enrollment in tertiary education, education, female",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of females enrolled in tertiary education, per program",Enrollment in tertiary education,education,female
Education,TEDEDUMA,"Enrollment in tertiary education, education, male",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of males enrolled in tertiary education, per program",Enrollment in tertiary education,education,male
Education,TEDEDUTO,"Enrollment in tertiary education, education, total",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of total males and females enrolled in tertiary education, per program",Enrollment in tertiary education,education,total
Education,TEDENGFE,"Enrollment in tertiary education, engineering, manufacturing and construction, female",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of females enrolled in tertiary education, per program",Enrollment in tertiary education,"engineering, manufacturing and construction",female
Education,TEDENGMA,"Enrollment in tertiary education, engineering, manufacturing and construction, male",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of males enrolled in tertiary education, per program",Enrollment in tertiary education,"engineering, manufacturing and construction",male
Education,TEDENGTO,"Enrollment in tertiary education, engineering, manufacturing and construction, total",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of total males and females enrolled in tertiary education, per program",Enrollment in tertiary education,"engineering, manufacturing and construction",total
Education,TEDGENFE,"Enrollment in tertiary education, general programs, female",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of females enrolled in tertiary education, per program",Enrollment in tertiary education,general programs,female
Education,TEDGENMA,"Enrollment in tertiary education, general programs, male",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of males enrolled in tertiary education, per program",Enrollment in tertiary education,general programs,male
Education,TEDGENTO,"Enrollment in tertiary education, general programs, total",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of total males and females enrolled in tertiary education, per program",Enrollment in tertiary education,general programs,total
Education,TEDHEWFE,"Enrollment in tertiary education, health and welfare, female",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of females enrolled in tertiary education, per program",Enrollment in tertiary education,health and welfare,female
Education,TEDHEWMA,"Enrollment in tertiary education, health and welfare, male",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of males enrolled in tertiary education, per program",Enrollment in tertiary education,health and welfare,male
Education,TEDHEWTO,"Enrollment in tertiary education, health and welfare, total",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of total males and females enrolled in tertiary education, per program",Enrollment in tertiary education,health and welfare,total
Education,TEDHUMFE,"Enrollment in tertiary education, humanities and arts, female",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of females enrolled in tertiary education, per program",Enrollment in tertiary education,humanities and arts,female
Education,TEDHUMMA,"Enrollment in tertiary education, humanities and arts, male",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of males enrolled in tertiary education, per program",Enrollment in tertiary education,humanities and arts,male
Education,TEDHUMTO,"Enrollment in tertiary education, humanities and arts, total",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of total males and females enrolled in tertiary education, per program",Enrollment in tertiary education,humanities and arts,total
Education,ENTEFEIN,"Enrollment in tertiary education, per 100,000 inhabitants, female","Number Per 100,000","UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Total number of students enrolled in a tertiary education in a given academic year divided by the country's population, and adjusted for every 100,000 inhabitants.",Enrollment in tertiary education,"per 100,000 inhabitants",female
Education,ENTEMAIN,"Enrollment in tertiary education, per 100,000 inhabitants, male","Number Per 100,000","UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Total number of students enrolled in a tertiary education in a given academic year divided by the country's population, and adjusted for every 100,000 inhabitants.",Enrollment in tertiary education,"per 100,000 inhabitants",male
Education,ENTETOIN,"Enrollment in tertiary education, per 100,000 inhabitants, total","Number Per 100,000","UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Total number of students enrolled in a tertiary education in a given academic year divided by the country's population, and adjusted for every 100,000 inhabitants.",Enrollment in tertiary education,"per 100,000 inhabitants",total
Education,TEDSCNFE,"Enrollment in tertiary education, science, female",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of females enrolled in tertiary education, per program",Enrollment in tertiary education,science,female
Education,TEDSCNMA,"Enrollment in tertiary education, science, male",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of males enrolled in tertiary education, per program",Enrollment in tertiary education,science,male
Education,TEDSCNTO,"Enrollment in tertiary education, science, total",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of total males and females enrolled in tertiary education, per program",Enrollment in tertiary education,science,total
Education,TEDSVCFE,"Enrollment in tertiary education, services, female",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of females enrolled in tertiary education, per program",Enrollment in tertiary education,services,female
Education,TEDSVCMA,"Enrollment in tertiary education, services, male",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of males enrolled in tertiary education, per program",Enrollment in tertiary education,services,male
Education,TEDSVCTO,"Enrollment in tertiary education, services, total",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of total males and females enrolled in tertiary education, per program",Enrollment in tertiary education,services,total
Education,TEDSBLFE,"Enrollment in tertiary education, social sciences, business and law, female",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of females enrolled in tertiary education, per program",Enrollment in tertiary education,"social sciences, business and law",female
Education,TEDSBLMA,"Enrollment in tertiary education, social sciences, business and law, male",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of males enrolled in tertiary education, per program",Enrollment in tertiary education,"social sciences, business and law",male
Education,TEDSBLTO,"Enrollment in tertiary education, social sciences, business and law, total",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of total males and females enrolled in tertiary education, per program",Enrollment in tertiary education,"social sciences, business and law",total
Education,TEDUNSFE,"Enrollment in tertiary education, unspecified programs, female",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of females enrolled in tertiary education, per program",Enrollment in tertiary education,unspecified programs,female
Education,TEDUNSMA,"Enrollment in tertiary education, unspecified programs, male",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of males enrolled in tertiary education, per program",Enrollment in tertiary education,unspecified programs,male
Education,TEDUNSTO,"Enrollment in tertiary education, unspecified programs, total",Number,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Number of total males and females enrolled in tertiary education, per program",Enrollment in tertiary education,unspecified programs,total
Education,LITRFEIN,"Literacy rate, female",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Adult literacy rate, population 15+ years, female (%)",Literacy rate,,female
Education,LITRMAIN,"Literacy rate, male",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Adult literacy rate, population 15+ years, male (%)",Literacy rate,,male
Education,LITRTOIN,"Literacy rate, total",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Adult literacy rate, population 15+ years, total (%)",Literacy rate,,total
Education,NERAPPFE,"Net enrollment ratio in pre-primary school, female",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","The number of children enrolled in pre-primary school who belong to the age group that officially corresponds to pre-primary schooling, divided by the total population of the same age group.",Net enrollment ratio,pre-primary school,female
Education,NERAPPGP,"Net enrollment ratio in pre-primary school, GPI",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","The number of children enrolled in pre-primary school who belong to the age group that officially corresponds to pre-primary schooling, divided by the total population of the same age group.",Net enrollment ratio GPI,pre-primary school,
Education,NERAPPMA,"Net enrollment ratio in pre-primary school, male",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","The number of children enrolled in pre-primary school who belong to the age group that officially corresponds to pre-primary schooling, divided by the total population of the same age group.",Net enrollment ratio,pre-primary school,male
Education,PERPRSFE,"Persistence to last grade of primary school, female",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Survival rate to last grade of primary, female %",Persistence to last grade of primary school,,female
Education,PERPRSMA,"Persistence to last grade of primary school, male",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Survival rate to last grade of primary, male %",Persistence to last grade of primary school,,male
Education,PERPRSTO,"Persistence to last grade of primary school, total",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Survival rate to last grade of primary, total %",Persistence to last grade of primary school,,total
Education,PRSCREFE,"Primary school repeaters, female",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",Percentage of female repeaters in primary school,Primary school repeaters,,female
Education,PRSCREMA,"Primary school repeaters, male",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",Percentage of male repeaters in primary school,Primary school repeaters,,male
Education,PRSCRETO,"Primary school repeaters, total",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",Percentage of total repeaters in primary school,Primary school repeaters,,total
Education,GRENFETL,"Share of engineering, manufacturing and construction graduates at tertiary level, female",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",Number of students enrolled in each field over the total enrollment in tertiary education in a specific academic-year.,Share of graduates at tertiary level,"engineering, manufacturing and construction",female
Education,GRSCFETL,"Share of science graduates at tertiary level, female",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",Number of students enrolled in each field over the total enrollment in tertiary education in a specific academic-year.,Share of graduates at tertiary level,science,female
Education,LITRFEYT,"Youth literacy rate, female",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Youth literacy rate, population 15-24 years, total (%)",Youth literacy rate,,female
Education,LITRMAYT,"Youth literacy rate, male",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Youth literacy rate, population 15-24 years, total (%)",Youth literacy rate,,male
Education,LITRTOYT,"Youth literacy rate, total",%,"UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics","Youth literacy rate, population 15-24 years, total (%)",Youth literacy rate,,total
Education,SCCRFEIN,"Secondary completion rate, female",%,World Bank DHS; UNICEF's MICS,Percentage of female students enrolled in secondary school who graduate,Secondary completion rate,,female
Education,SCCRMAIN,"Secondary completion rate, male",%,World Bank DHS; UNICEF's MICS,Percentage of male students enrolled in secondary school who graduate,Secondary completion rate,,male
Education,SCCRTOIN,"Secondary completion rate, total",%,World Bank DHS; UNICEF's MICS,Percentage of total students enrolled in secondary school who graduate,Secondary completion rate,,total
Education,YRSCFEIN,"Mean years of schooling, 25+ years, female",Years,"World Bank, IIASA","Provides the average number of years of education completed by a country’s adult population (25 years and older), excluding years spent repeating grades.",Mean years of schooling,25+ years,female
Education,YRSCMAIN,"Mean years of schooling, 25+ years, male",Years,"World Bank, IIASA","Provides the average number of years of education completed by a country’s adult population (25 years and older), excluding years spent repeating grades.",Mean years of schooling,25+ years,male
Education,YRSCTOIN,"Mean years of schooling, 25+ years, total",Years,"World Bank, IIASA","Provides the average number of years of education completed by a country’s adult population (25 years and older), excluding years spent repeating grades.",Mean years of schooling,25+ years,total
Education,PRMAFEIN,"Achieving basics in mathematics, female",%,World Inequality Database on Education (WIDE),Percentage of children taking part in an assessment who achieved an international minimum learning standard in mathematics. (Primary level),Achieving basics in mathematics,all students,female
Education,WDMTQHFE,"Achieving basics in mathematics, female, highest income quintile",%,World Inequality Database on Education (WIDE),Percentage of children taking part in an assessment who achieved an international minimum learning standard in mathematics by hosehold wealth index. (Primary level),Achieving basics in mathematics,highest income quintile,female
Education,WDMTQLFE,"Achieving basics in mathematics, female, lowest income quintile",%,World Inequality Database on Education (WIDE),Percentage of children taking part in an assessment who achieved an international minimum learning standard in mathematics by hosehold wealth index. (Primary level),Achieving basics in mathematics,lowest income quintile,female
Education,PRMAMAIN,"Achieving basics in mathematics, male",%,World Inequality Database on Education (WIDE),Percentage of children taking part in an assessment who achieved an international minimum learning standard in mathematics. (Primary level),Achieving basics in mathematics,all students,male
Education,PRREFEIN,"Achieving basics in reading, female",%,World Inequality Database on Education (WIDE),Percentage of children taking part in an assessment who achieved an international minimum learning standard in reading. (Primary level),Achieving basics in reading,all students,female
Education,WDREQHFE,"Achieving basics in reading, female, highest income quintile",%,World Inequality Database on Education (WIDE),Percentage of children taking part in an assessment who achieved an international minimum learning standard in reading by hosehold wealth index. (Primary level),Achieving basics in reading,highest income quintile,female
Education,WDREQLFE,"Achieving basics in reading, female, lowest income quintile",%,World Inequality Database on Education (WIDE),Percentage of children taking part in an assessment who achieved an international minimum learning standard in reading by hosehold wealth index. (Primary level),Achieving basics in reading,lowest income quintile,female
Education,PRREMAIN,"Achieving basics in reading, male",%,World Inequality Database on Education (WIDE),Percentage of children taking part in an assessment who achieved an international minimum learning standard in reading. (Primary level),Achieving basics in reading,all students,male
Education,PRSCFEIN,"Achieving basics in science, female",%,World Inequality Database on Education (WIDE),Percentage of children taking part in an assessment who achieved an international minimum learning standard in science. (Primary level),Achieving basics in science,all students,female
Education,WDSCQHFE,"Achieving basics in science, female, highest income quintile",%,World Inequality Database on Education (WIDE),Percentage of children taking part in an assessment who achieved an international minimum learning standard in science by hosehold wealth index. (Primary level),Achieving basics in science,highest income quintile,female
Education,WDSCQLFE,"Achieving basics in science, female, lowest income quintile",%,World Inequality Database on Education (WIDE),Percentage of children taking part in an assessment who achieved an international minimum learning standard in science by hosehold wealth index. (Primary level),Achieving basics in science,lowest income quintile,female
Education,PRSCMAIN,"Achieving basics in science, male",%,World Inequality Database on Education (WIDE),Percentage of children taking part in an assessment who achieved an international minimum learning standard in science. (Primary level),Achieving basics in science,all students,male
Economy,ECMSFDHS,Married women's control over earnings - self only,%,DHS Household Surveys,"Percent distribution of women employed in the 12 months who received cash earning for work by person who decides how earnings are used, according to current marital status and the proportion of household expenditures met by earnings.",Control over earnings,"Married women, self only",
Economy,ECMSODHS,Married women's control over earnings - someone else only,%,DHS Household Surveys,"Percent distribution of women employed in the 12 months who received cash earning for work by person who decides how earnings are used, according to current marital status and the proportion of household expenditures met by earnings.",Control over earnings,"Married women, someone else only",
Economy,OFDHHDHS,"Occupation - domestic and household work, Female",%,DHS Household Surveys,Percent distribution of women employed in the 12 months before the survey in domestic and household work.,Occupation,domestic and household work,female
Economy,OMDHHDHS,"Occupation - domestic and household work, Male",%,DHS Household Surveys,Percent distribution of men employed in the 12 months before the survey in domestic and household work.,Occupation,domestic and household work,male
Economy,AFFAMDHS,"Occupation - family land agriculture, Female",%,DHS Household Surveys,Percent distribution of women employed in family land agriculture in the 12 months before the DHS survey.,Occupation,family land agriculture,female
Economy,AMFAMDHS,"Occupation - family land agriculture, Male",%,DHS Household Surveys,Percent distribution of men employed in family land agriculture in the 12 months before the DHS survey.,Occupation,family land agriculture,male
Economy,AFOWNDHS,"Occupation - own land agriculture, Female",%,DHS Household Surveys,Percent distribution of women employed in own land agriculture in the 12 months before the DHS survey.,Occupation,own land agriculture,female
Economy,AMOWNDHS,"Occupation - own land agriculture, Male",%,DHS Household Surveys,Percent distribution of men employed in own land agriculture in the 12 months before the DHS survey.,Occupation,own land agriculture,male
Economy,ECSSFDHS,Single women's control over earnings - self only,%,DHS Household Surveys,"Percent distribution of women employed in the 12 months who received cash earning for work by person who decides how earnings are used, according to current marital status and the proportion of household expenditures met by earnings.",Control over earnings,"Single women, self only",
Economy,ECSSODHS,Single women's control over earnings - someone else only,%,DHS Household Surveys,"Percent distribution of women employed in the 12 months who received cash earning for work by person who decides how earnings are used, according to current marital status and the proportion of household expenditures met by earnings.",Control over earnings,"Single Women, someone else only",
Economy,WCCSIDHS,Working women's formal child care - school or institution,%,DHS Household Surveys,Percent distribution of women employed by whether they have a child under six years of age and percent distribution of employed mothers who have a child under six years of age in child care at a school or institution.,Working women's formal child care,,
Economy,SRHFHFAO,"Share of rural households that are female headed, Total",%,Food and Agriculture Organization of the United Nations (FAO),Share of rural households that are female-headed,Female headed households,,rural
Economy,SUHFHFAO,"Share of urban households that are female headed, Total",%,Food and Agriculture Organization of the United Nations (FAO),Share of urban households that are female-headed,Female headed households,,urban
Economy,ESEAFGEM,"Early stage entrepreneurial activity, Female",%,Global Entrepreneurship Monitor (GEM),Percentage of female 18-64 population who are either a nascent entrepreneur or owner-manager of a new business,Early stage entrepreneurial activity,,female
Economy,ESEAMGEM,"Early stage entrepreneurial activity, Male",%,Global Entrepreneurship Monitor (GEM),Percentage of male 18-64 population who are either a nascent entrepreneur or owner-manager of a new business,Early stage entrepreneurial activity,,male
Economy,LFIPFEIN,"Loan from a financial institution in the past year, Female",%,Global Findex,Share of females age 15+ that received a loan from a financial institution in the past year,Loan in the past year,from a financial institution,female
Economy,LFIPMAIN,"Loan from a financial institution in the past year, Male",%,Global Findex,Share of males age 15+ that received a loan from a financial institution in the past year,Loan in the past year,from a financial institution,male
Economy,LEPYFEIN,"Loan from an employer in the past year, Female",%,Global Findex,Share of females age 15+ that received a loan from an employer in the past year,Loan in the past year,from an employer,female
Economy,LEPYMAIN,"Loan from an employer in the past year, Male",%,Global Findex,Share of males age 15+ that received a loan from an employer in the past year,Loan in the past year,from an employer,male
Economy,LFFPFEIN,"Loan from family or friends in the past year, Female",%,Global Findex,Share of females age 15+ that received a loan from a family or friend in the past year,Loan in the past year,from family or friends,female
Economy,LFFPMAIN,"Loan from family or friends in the past year, Male",%,Global Findex,Share of males age 15+ that received a loan from a family or friend in the past year,Loan in the past year,from family or friends,male
Economy,LIPYFEIN,"Loan in the past year, Female",%,Global Findex,Share of females age 15+ that received a loan in the past year,Loan in the past year,,female
Economy,LIPYMAIN,"Loan in the past year, Male",%,Global Findex,Share of males age 15+ that received a loan in the past year,Loan in the past year,,male
Economy,LSCPFEIN,"Loan through store credit in the past year, Female",%,Global Findex,Share of females age 15+ that received a loan through store credit in the past year,Loan in the past year,through store credit,female
Economy,LSCPMAIN,"Loan through store credit in the past year, Male",%,Global Findex,Share of males age 15+ that received a loan through store credit in the past year,Loan in the past year,through store credit,male
Economy,SFIPFEIN,"Saved at a financial institution in the past year, Female",%,Global Findex,Share of females age 15+ that saved at a financial institutions in the past year,Saved at a financial institution in the past year,,female
Economy,SFIPMAIN,"Saved at a financial institution in the past year, Male",%,Global Findex,Share of males age 15+ that saved at a financial institutions in the past year,Saved at a financial institution in the past year,,male
Economy,AESWFEIE,"Agricultural employment, Female",%,Informal Economy 2012 Country Data,"Agricultural employment, female (Share of women in employment by type)",Agricultural employment,employment,female
Economy,ASESFEIE,"Agricultural self-employment, Female",%,Informal Economy 2012 Country Data,"Agricultural self-employment, female (Share of women in employment by type)",Agricultural employment,self-employment,female
Economy,AWESFEIE,"Agricultural wage employment, Female",%,Informal Economy 2012 Country Data,"Agricultural wage employment, female (Share of women in employment by type)",Agricultural employment,wage employment,female
Economy,DWEHFEIE,"Domestic workers employed by households, Female",%,Informal Economy 2012 Country Data,"Domestic workers employed by households (Informal non-agricultural employment by status in employment, female)",Domestic workers employed by households,,female
Economy,DWEHMAIE,"Domestic workers employed by households, Male",%,Informal Economy 2012 Country Data,"Domestic workers employed by households (Informal non-agricultural employment by status in employment, male)",Domestic workers employed by households,,male
Economy,DWEHTOIE,"Domestic workers employed by households, Total",%,Informal Economy 2012 Country Data,"Domestic workers employed by households (Informal non-agricultural employment by status in employment, total)",Domestic workers employed by households,,total
Economy,ANAAFEIE,"Informal employment in all non-agricultural activities, Female",%,Informal Economy 2012 Country Data,"Informal employment in all non-agricultural activities, female (Share of informal employment by kind)",Informal employment,in all non-agricultural activities,female
Economy,ANAAMAIE,"Informal employment in all non-agricultural activities, Male",%,Informal Economy 2012 Country Data,"Informal employment in all non-agricultural activities, male (Share of informal employment by kind)",Informal employment,in all non-agricultural activities,male
Economy,ANAATOIE,"Informal employment in all non-agricultural activities, Total",%,Informal Economy 2012 Country Data,"Informal employment in all non-agricultural activities, total (Share of informal employment by kind)",Informal employment,in all non-agricultural activities,total
Economy,CSIEFEIE,"Informal employment in construction, Female",%,Informal Economy 2012 Country Data,"Informal employment in construction, female (Share of informal employment by kind)",Informal employment,in construction,female
Economy,CSIEMAIE,"Informal employment in construction, Male",%,Informal Economy 2012 Country Data,"Informal employment in construction, male (Share of informal employment by kind)",Informal employment,in construction,male
Economy,CSIETOIE,"Informal employment in construction, Total",%,Informal Economy 2012 Country Data,"Informal employment in construction, total (Share of informal employment by kind)",Informal employment,in construction,total
